,crash_freq,excess_kurtosis,vol_cluster,max_drawdown,peak,kept
mm_revert,0.36200305810397554,0.16505993021161564,1.0,0.1589567496823182,1.0,True
ref_adapt,0.8509174311926605,1.0,0.7391386644407721,0.4251854179913418,1.0,True
leverage_cap,1.0,0.4174228152331398,0.43251814051798326,1.0,1.0,True
impact_omega,0.3253058103975535,0.10906251103919587,0.3497184937434436,0.6315963697932879,0.6315963697932879,True
adjust,0.551414373088685,0.21601171251102608,0.29737973943827456,0.15913271570715615,0.551414373088685,True
kappa,0.35970948012232407,0.3567064876053684,0.3615056445116222,0.4246040275582918,0.4246040275582918,True
herding,0.22190366972477063,0.17651799323787395,0.22125280023890845,0.37996633035674454,0.37996633035674454,True
noise,0.09422782874617737,0.36545098611543503,0.15097710392731414,0.08845794967024281,0.36545098611543503,True
curv,0.11506116207951067,0.3436886629723916,0.08656458819249425,0.10585336892702042,0.3436886629723916,True
lookback,0.32664373088685017,0.0980418580718465,0.2929075892670465,0.1519142466502644,0.32664373088685017,True
premium,0.0730122324159021,0.2962061573041567,0.07873574858419352,0.034718362947362844,0.2962061573041567,True
maint_margin,0.24503058103975536,0.07865036575709466,0.21675508931358517,0.18023280727415336,0.24503058103975536,True
chi,0.17412079510703354,0.021863584406180317,0.19440317997950196,0.088689089200578,0.19440317997950196,False
demand_gain,0.19246941896024475,0.05607504815539302,0.12205542908392222,0.06724949644460795,0.19246941896024475,False
switch_rate,0.0754969418960245,0.17409506242410733,0.06092082611728009,0.07455198600897103,0.17409506242410733,False
sig_noise,0.024655963302752288,0.15479758034064997,0.07333951922789927,0.060342262338254876,0.15479758034064997,False
n_agents,0.03096330275229356,0.13737665929280196,0.06378748302418634,0.05060009433698727,0.13737665929280196,False
choice_intensity,0.12461773700305805,0.07239279632002607,0.0789584923802861,0.08448709403493629,0.12461773700305805,False
loss_aversion,0.11142966360856255,0.02549761339305692,0.0685022492510529,0.03001331756699861,0.11142966360856255,False
prob_gamma,0.07396788990825691,0.10665406049729213,0.08265734274419724,0.034762252305419884,0.10665406049729213,False
r_cap,0.0307721712538226,0.058269208327050695,0.04549930248899914,0.08648562616120858,0.08648562616120858,False
herd_action,0.05275229357798164,0.03245855058712371,0.07329683072735708,0.08324059703592179,0.08324059703592179,False
phi,0.050458715596330216,0.0538668877827549,0.039335708269528966,0.028295605776058195,0.0538668877827549,False
net_m,0.04568042813455655,0.02485095914335838,0.05126325662456301,0.028604289205802148,0.05126325662456301,False
vol_floor,0.050458715596330174,0.01728710356657785,0.02786626837380129,0.017068485802263902,0.050458715596330174,False
fit_scale,0.045680428134556715,0.03771709675525787,0.03756575735129517,0.020949785496876386,0.045680428134556715,False
vol_window,0.026567278287461756,0.012358706082404436,0.02827861934710741,0.029368729040507573,0.029368729040507573,False
frac_chart_init,0.024464831804281315,0.02231664433336947,0.02784690309895879,0.007450491734259913,0.02784690309895879,False
sharp,0.016628440366972464,0.00623675535434924,0.012590462612263398,0.02023959601393143,0.02023959601393143,False
